Storetype,Lang,Q2a,Q2b,Q3a,Q3b,Q3c,Q3d,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q4h,Q4i,Q4j,Q5,Q6,Q7,Q8a,Q8d,Q8c,Q8e,Q8b,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,1,1,1,1,3,1,2,4,1,2,1,4,4,84118
1,2,5,3,3,5,5,6,5,1,3,5,5,5,5,5,5,5,5,1,1,1,1,1,2,1,2,5,1,1,1,5,3,84111
1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,1,1,1,1,1,1,2,3,1,2,1,2,2,84119
1,2,1,,,,,,5,,,,,,,,,,3,2,,3,,,,1,1,3,2,2,2,3,1,
1,2,1,1,3,3,3,3,5,5,3,3,1,5,5,3,5,3,2,1,1,1,3,1,3,1,2,4,1,2,2,4,2,84105
1,2,4,3,5,4,5,6,3,3,3,3,4,4,3,,3,2,2,1,1,3,4,3,2,2,1,4,2,2,2,1,3,84004
1,2,3,3,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,1,2,2,2,1,3,3,2,5,2,1,2,1,3,84062
1,2,4,3,1,1,3,3,4,1,4,5,5,5,5,5,5,5,5,1,4,1,3,3,2,1,2,3,2,2,2,1,1,84120
1,2,1,1,3,6,6,6,5,1,5,3,5,5,5,5,5,5,5,1,1,1,1,2,4,1,2,4,1,1,1,5,1,84057
1,2,5,5,5,5,5,5,5,5,5,1,5,5,5,1,1,1,5,1,2,1,1,1,1,1,2,5,2,2,1,2,4,84604
1,2,4,5,4,5,4,5,5,3,5,2,4,3,4,3,3,4,5,1,3,4,3,2,4,2,2,3,2,2,2,1,2,84058
1,2,5,5,3,3,3,3,4,5,5,4,5,5,5,5,5,5,1,2,,1,3,1,2,3,2,3,2,2,2,1,1,84663
1,2,5,5,3,3,3,3,1,1,1,1,1,1,5,1,1,1,5,1,5,1,1,1,1,1,,5,1,2,2,5,4,84067
1,2,,,,,,,5,5,5,,,5,,,,4,1,2,,3,2,1,2,4,2,3,2,2,1,1,1,
1,2,4,4,5,5,,,2,2,2,2,2,2,2,2,2,2,4,2,,3,3,3,3,1,2,5,1,2,2,1,3,84047
1,2,1,1,1,1,1,1,1,1,5,5,5,5,5,5,4,5,2,1,2,1,1,1,1,1,2,5,2,2,1,2,1,84047
1,2,3,4,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,2,,1,2,1,1,1,2,5,2,2,1,4,2,84103
1,2,4,5,5,5,,6,4,5,4,4,5,4,5,4,5,5,3,1,1,2,4,3,4,3,1,5,1,1,2,3,1,84067
1,2,1,1,3,6,6,6,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,1,4,3,2,5,1,2,1,3,1,84118
1,2,3,3,5,6,6,6,5,1,5,3,3,1,2,1,3,1,5,1,1,2,4,3,3,2,2,5,1,2,2,4,1,84081
1,2,3,3,3,3,3,3,1,1,5,5,5,5,1,3,1,1,5,1,2,1,,3,4,1,2,3,1,2,2,3,,84081
1,2,5,1,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,4,,2,5,1,2,1,5,4,84081
1,2,2,1,5,5,5,6,3,1,1,1,4,5,4,4,4,5,5,1,1,,3,3,4,3,2,4,1,2,2,3,3,84129
1,2,3,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,5,1,2,1,3,1,84118
1,2,3,3,4,4,4,4,5,2,3,5,5,5,5,5,4,5,3,1,1,3,1,1,4,3,2,4,1,2,2,3,2,84081
1,2,4,3,5,5,6,6,,,,,,,,,,,1,1,3,3,4,1,2,3,2,3,2,2,2,2,1,84128
1,2,3,,6,,,,,,,1,,,,,1,1,,1,1,2,,,,,2,5,2,1,2,3,1,84118
